x00A3 U[00A3] P[00A3] L[00A3] E[0089] H[0089] pfGUIControlMod
x00A4 U[00A4] P[00A4] L[00A4] E[008A] H[008A] plExcludeRegionModifier
x00A5 U[00A5] P[00A5] L[00A5] E[008B] H[008B] pfGUIDraggableMod
x00A6 U[00A6] P[00A6] L[00A6] E[008C] H[008C] plVolumeSensorConditionalObject
x00A7 U[00A7] P[00A7] L[00A7] E[008D] H[008D] plVolActivatorConditionalObject
x00A8 U[00A8] P[00A8] L[00A8] E[008E] H[008E] plMsgForwarder
x00A9 U[00A9] P[00A9] L[00A9] E[008F] H[008F] plBlower
x00AA U[00AA] P[00AA] L[00AA] E[0090] H[0090] pfGUIListBoxMod
x00AB U[00AB] P[00AB] L[00AB] E[0091] H[0091] pfGUITextBoxMod
x00AC U[00AC] P[00AC] L[00AC] E[0092] H[0092] pfGUIEditBoxMod
x00AD U[00AD] P[00AD] L[00AD] E[0093] H[0093] plDynamicTextMap
x00AE U[00AE] P[00AE] L[00AE] E[----] H[----] plSittingModifier
x00AF U[00AF] P[00AF] L[00AF] E[0095] H[0095] pfGUIUpDownPairMod
x00B0 U[00B0] P[00B0] L[00B0] E[0096] H[0096] pfGUIValueCtrl
x00B1 U[00B1] P[00B1] L[00B1] E[0097] H[0097] pfGUIKnobCtrl
x00B2 U[00B2] P[00B2] L[00B2] E[----] H[----] plAvLadderMod
x00B3 U[00B3] P[00B3] L[00B3] E[----] H[----] plCameraBrain1_FirstPerson
x00B4 U[00B4] P[00B4] L[00B4] E[009A] H[009A] plCloneSpawnModifier
x00B5 U[00B5] P[00B5] L[00B5] E[----] H[----] plClothingItem
x00B6 U[00B6] P[00B6] L[00B6] E[----] H[----] plClothingOutfit
x00B7 U[00B7] P[00B7] L[00B7] E[----] H[----] plClothingBase
x00B8 U[00B8] P[00B8] L[00B8] E[----] H[----] plClothingMgr
x00B9 U[00B9] P[00B9] L[00B9] E[009B] H[009B] pfGUIDragBarCtrl
x00BA U[00BA] P[00BA] L[00BA] E[009C] H[009C] pfGUICheckBoxCtrl
x00BB U[00BB] P[00BB] L[00BB] E[009D] H[009D] pfGUIRadioGroupCtrl
x00BC U[00BC] P[00BC] L[00BC] E[----] H[----] pfPlayerBookMod
x00BD U[00BD] P[00BD] L[00BD] E[009E] H[009E] pfGUIDynDisplayCtrl
x00BE U[00BE] P[00BE] L[00BE] E[009F] H[009F] plLayerProject
x00BF U[00BF] P[00BF] L[00BF] E[00A0] H[00A0] plInputInterfaceMgr
x00C0 U[00C0] P[00C0] L[00C0] E[00A1] H[00A1] plRailCameraMod
x00C1 U[00C1] P[00C1] L[00C1] E[00A2] H[00A2] plMultistageBehMod
x00C2 U[00C2] P[00C2] L[00C2] E[----] H[----] plCameraBrain1_Circle
x00C3 U[00C3] P[00C3] L[00C3] E[00A4] H[00A4] plParticleWindEffect
x00C4 U[00C4] P[00C4] L[00C4] E[00A5] H[00A5] plAnimEventModifier
x00C5 U[00C5] P[00C5] L[00C5] E[00A6] H[00A6] plAutoProfile
x00C6 U[00C6] P[00C6] L[00C6] E[00A7] H[00A7] pfGUISkin
x00C7 U[00C7] P[00C7] L[00C7] E[00A8] H[00A8] plAVIWriter
x00C8 U[00C8] P[00C8] L[00C8] E[00A9] H[00A9] plParticleCollisionEffect
x00C9 U[00C9] P[00C9] L[00C9] E[00AA] H[00AA] plParticleCollisionEffectDie
x00CA U[00CA] P[00CA] L[00CA] E[00AB] H[00AB] plParticleCollisionEffectBounce
x00CB U[00CB] P[00CB] L[00CB] E[00AC] H[00AC] plInterfaceInfoModifier
x00CC U[00CC] P[00CC] L[00CC] E[00AD] H[00AD] plSharedMesh
x00CD U[00CD] P[00CD] L[00CD] E[00AE] H[00AE] plArmatureEffectsMgr
x00CE U[00CE] P[00CE] L[00CE] E[----] H[----] pfMarkerMgr
x00CF U[00CF] P[00CF] L[00CF] E[00AF] H[00AF] plVehicleModifier
x00D0 U[00D0] P[00D0] L[00D0] E[00B0] H[00B0] plParticleLocalWind
x00D1 U[00D1] P[00D1] L[00D1] E[00B1] H[00B1] plParticleUniformWind
x00D2 U[00D2] P[00D2] L[00D2] E[00B2] H[00B2] plInstanceDrawInterface
x00D3 U[00D3] P[00D3] L[00D3] E[00B3] H[00B3] plShadowMaster
x00D4 U[00D4] P[00D4] L[00D4] E[00B4] H[00B4] plShadowCaster
x00D5 U[00D5] P[00D5] L[00D5] E[00B5] H[00B5] plPointShadowMaster
x00D6 U[00D6] P[00D6] L[00D6] E[00B6] H[00B6] plDirectShadowMaster
x00D7 U[00D7] P[00D7] L[00D7] E[00B7] H[00B7] plSDLModifier
x00D8 U[00D8] P[00D8] L[00D8] E[00B8] H[00B8] plPhysicalSDLModifier
x00D9 U[00D9] P[00D9] L[00D9] E[----] H[----] plClothingSDLModifier
x00DA U[00DA] P[00DA] L[00DA] E[----] H[----] plAvatarSDLModifier
x00DB U[00DB] P[00DB] L[00DB] E[00B9] H[00B9] plAGMasterSDLModifier
x00DC U[00DC] P[00DC] L[00DC] E[----] H[----] plPythonSDLModifier
x00DD U[00DD] P[00DD] L[00DD] E[00BA] H[00BA] plLayerSDLModifier
x00DE U[00DE] P[00DE] L[00DE] E[00BB] H[00BB] plAnimTimeConvertSDLModifier
x00DF U[00DF] P[00DF] L[00DF] E[00BC] H[00BC] plResponderSDLModifier
x00E0 U[00E0] P[00E0] L[00E0] E[00BD] H[00BD] plSoundSDLModifier
x00E1 U[00E1] P[00E1] L[00E1] E[00BE] H[00BE] plResManagerHelper
x00E2 U[00E2] P[00E2] L[013C] E[----] H[----] plHKSubWorld
x00E3 U[00E3] P[00E3] L[00E3] E[00BF] H[00BF] plArmatureEffect
x00E4 U[00E4] P[00E4] L[00E4] E[00C0] H[00C0] plArmatureEffectFootSound
x00E5 U[00E5] P[00E5] L[00E5] E[----] H[----] plEAXListenerMod
x00E6 U[00E6] P[00E6] L[00E6] E[00C2] H[00C2] plDynaDecalMgr
x00E7 U[00E7] P[00E7] L[00E7] E[00C3] H[00C3] plObjectInVolumeAndFacingDetector
x00E8 U[00E8] P[00E8] L[00E8] E[00C4] H[00C4] plDynaFootMgr
x00E9 U[00E9] P[00E9] L[00E9] E[00C5] H[00C5] plDynaRippleMgr
x00EA U[00EA] P[00EA] L[00EA] E[00C6] H[00C6] plDynaBulletMgr
x00EB U[00EB] P[00EB] L[00EB] E[00C7] H[00C7] plDecalEnableMod
x00EC U[00EC] P[00EC] L[00EC] E[00C8] H[00C8] plPrintShape
x00ED U[00ED] P[00ED] L[00ED] E[00C9] H[00C9] plDynaPuddleMgr
x00EE U[00EE] P[00EE] L[00EE] E[00CA] H[00CA] pfGUIMultiLineEditCtrl
